镜号	类别	资源	镜末状态	逻辑引用	实际采用	SHA256
EP001_SH03	场景	北门		制作/前三集_v8_v2_文本定稿/资产/北门内室/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/北门内室/ref_v01.jpg	c81ef2f2843cc411b520c460a3e659ec6ed68ab954900088289a24e2cb8ca25f
EP001_SH03	道具	油灯		制作/前三集_v8_v2_文本定稿/资产/复用/油灯_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/油灯_01.jpg	a77f20faebbbb44790e9c25f18f18e125e242b33225e4329943e9c3dbb6042a7
EP001_SH04	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH04	场景	北门		制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	3ae9d1c32f0b0c4987e4ce3768b3d305408e9d010e3b7c22310f4c7cebadacae
EP001_SH04	道具	木榫		制作/前三集_v8_v2_文本定稿/资产/小物工具/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/小物工具/ref_v01.jpg	e1a8b7f102628c398483289e0d3138210b1902aaad7f65b6e3fceb530ec5af9e
EP001_SH04	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH04	道具	铜销		制作/前三集_v8_v2_文本定稿/资产/铜销_完好/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/铜销_完好/ref_v02.jpg	53f2c1bbb4039ea40ecbc01ad39951e90758b75a8ad2175d7e04baca16b0b07b
EP001_SH04	道具	木舌		制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	c7276c3b570c5294731ec280868bb504b2cb4203946b05648d9b1001d1f75e70
EP001_SH05	人物	麻铎	wet_boots	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH05	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH05	场景	闸舱		制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	5681cb405ab726c6987b291dda05338b0df95ba4d0f1868af3572ea9d56eba50
EP001_SH05	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH05	道具	铜轮柄		制作/前三集_v8_v2_文本定稿/资产/复用/铜轮柄_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/铜轮柄_01.jpg	0318faba8d8f8a07887875733cadfcc8070341bb8ce81be2ae94077151ad1b99
EP001_SH05	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH05	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH06	人物	麻铎	wet_boots	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH06	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH06	场景	闸舱		制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	5681cb405ab726c6987b291dda05338b0df95ba4d0f1868af3572ea9d56eba50
EP001_SH06	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH06	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH06	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH07	人物	麻铎	wet_boots	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH07	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH07	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH07	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH07	道具	木楔		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH07	道具	坠石		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH07	道具	钱袋铜钱		制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	70db97c3508baa83b3c088d6694d92c20e59d640e14cd8c5f36330bd97c01a49
EP001_SH07	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH07	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH07	道具	止回棘爪		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH08	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH08	人物	麻铎	wet_boots	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH08	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH08	道具	钱袋铜钱		制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	70db97c3508baa83b3c088d6694d92c20e59d640e14cd8c5f36330bd97c01a49
EP001_SH08	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH08	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH08	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH09	人物	麻铎	wet_boots	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH09	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH09	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH09	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH09	道具	钱袋铜钱		制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	70db97c3508baa83b3c088d6694d92c20e59d640e14cd8c5f36330bd97c01a49
EP001_SH09	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH09	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH10	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH10	人物	麻铎	wet_boots	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH10	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH10	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH10	道具	固定木梁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH10	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH10	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH11	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH11	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH11	道具	木楔		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH11	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH11	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH12	人物	麻铎	wet_from_fall	制作/前三集_v8_v2_文本定稿/资产/麻铎_湿衣未绑/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/麻铎_湿衣未绑/ref_v01.jpg	79a431cdef091f96148efae5940cc7b142609efd9d62b0446e47c1acc55cde50
EP001_SH12	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH12	道具	绳轮机关		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH12	道具	坠石		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH12	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH12	道具	固定木梁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH12	道具	止回棘爪		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH13	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH13	人物	麻铎	wet_from_fall	制作/前三集_v8_v2_文本定稿/资产/麻铎_湿衣未绑/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/麻铎_湿衣未绑/ref_v01.jpg	79a431cdef091f96148efae5940cc7b142609efd9d62b0446e47c1acc55cde50
EP001_SH13	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH13	道具	搬件短绳		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH13	道具	立柱		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH13	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH13	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH14	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH14	人物	麻铎	wet_from_fall	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH14	场景	绳轮旁		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH14	道具	搬件短绳		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH14	道具	立柱		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
EP001_SH14	道具	船叉		制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/船叉_01.jpg	facc4ac935bb256be92235432d07a18e10f619513c6a399a55f6e4dfb7f8c84c
EP001_SH14	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH15	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH15	人物	麻铎	wet_from_fall	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH15	场景	修台		制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/闸舱_01.jpg	5681cb405ab726c6987b291dda05338b0df95ba4d0f1868af3572ea9d56eba50
EP001_SH15	道具	余烬		制作/前三集_v8_v2_文本定稿/资产/复用/余烬_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/余烬_01.jpg	2aac0b202d1a1018a30fd436f62b1388130a2bd25a0994bf430f7c5b86a62ba3
EP001_SH15	道具	钱袋铜钱		制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	70db97c3508baa83b3c088d6694d92c20e59d640e14cd8c5f36330bd97c01a49
EP001_SH15	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH16	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH16	场景	北门		制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	3ae9d1c32f0b0c4987e4ce3768b3d305408e9d010e3b7c22310f4c7cebadacae
EP001_SH16	道具	木榫		制作/前三集_v8_v2_文本定稿/资产/小物工具/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/小物工具/ref_v01.jpg	e1a8b7f102628c398483289e0d3138210b1902aaad7f65b6e3fceb530ec5af9e
EP001_SH16	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH16	道具	铜销		制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	c7276c3b570c5294731ec280868bb504b2cb4203946b05648d9b1001d1f75e70
EP001_SH16	道具	钱袋铜钱		制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/小钱袋成串铜钱/ref_v01.jpg	70db97c3508baa83b3c088d6694d92c20e59d640e14cd8c5f36330bd97c01a49
EP001_SH17	人物	闻溪	wet	制作/前三集_v8_v2_文本定稿/资产/复用/闻溪_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/闻溪_04.jpg	64c1ea1e4dafba9cb6c138118bf2c5a86511039606b129d9a81c5f2d938ffecd
EP001_SH17	场景	北门		制作/前三集_v8_v2_文本定稿/资产/北门内室/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/北门内室/ref_v01.jpg	c81ef2f2843cc411b520c460a3e659ec6ed68ab954900088289a24e2cb8ca25f
EP001_SH17	道具	油灯		制作/前三集_v8_v2_文本定稿/资产/复用/油灯_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/油灯_01.jpg	a77f20faebbbb44790e9c25f18f18e125e242b33225e4329943e9c3dbb6042a7
EP001_SH18	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH18	场景	北门		制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	3ae9d1c32f0b0c4987e4ce3768b3d305408e9d010e3b7c22310f4c7cebadacae
EP001_SH18	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH18	道具	铜销		制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	c7276c3b570c5294731ec280868bb504b2cb4203946b05648d9b1001d1f75e70
EP001_SH18	道具	木舌		制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/铜销_浅凹/ref_v01.jpg	c7276c3b570c5294731ec280868bb504b2cb4203946b05648d9b1001d1f75e70
EP001_SH19	人物	陆照	wet_lower_tunic	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/陆照_下摆湿/ref_v01.jpg	874ca1a81e9b3a178d24a5370e2ad2863b42ed2e0ffbc2659a4d184906261fea
EP001_SH19	人物	闻溪	wet	制作/前三集_v8_v2_文本定稿/资产/复用/闻溪_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/闻溪_04.jpg	64c1ea1e4dafba9cb6c138118bf2c5a86511039606b129d9a81c5f2d938ffecd
EP001_SH19	人物	麻铎	wet_from_fall	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/麻铎_04.jpg	eb825b0e45140a85b9e62980573046876bc0d26227385d0576fd4ce9cfefac99
EP001_SH19	场景	北门		制作/前三集_v8_v2_文本定稿/资产/北门开启修台/ref_v01.jpg	制作/前三集_v8_v2_文本定稿/资产/北门开启修台/ref_v01.jpg	4f23d683569e39be9fffea0c84f0a4ccc7515fd142888251ae1064aafeca54ed
EP001_SH19	道具	北门		制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/北门_01.jpg	3ae9d1c32f0b0c4987e4ce3768b3d305408e9d010e3b7c22310f4c7cebadacae
EP001_SH19	道具	黑钢锥		制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/黑钢锥_01.jpg	2dc24505a1c31030003cf9e7639cce3c3025165ebb68cc8ea9b2a323cb09c64c
EP001_SH19	道具	油灯		制作/前三集_v8_v2_文本定稿/资产/复用/油灯_01.jpg	制作/前三集_v8_v2_文本定稿/资产/复用/油灯_01.jpg	a77f20faebbbb44790e9c25f18f18e125e242b33225e4329943e9c3dbb6042a7
EP001_SH19	道具	立柱		制作/前三集_v8_v2_文本定稿/资产/棘爪绳轮机关/ref_v01.jpg		
